label,url
@aa.ch.j,https://www.instagram.com/aa.ch.j
@atentamentepoly,https://www.instagram.com/atentamentepoly
@dra.florangelvera,https://www.instagram.com/dra.florangelvera
@esparamiyodelfuturo,https://www.instagram.com/esparamiyodelfuturo
@estufania,https://www.instagram.com/estufania
@fairlygab,https://www.instagram.com/fairlygab
@gabbacosta,https://www.instagram.com/gabbacosta
@hacha.machete,https://instagram.com/hacha.machete
@ohmycay,https://www.instagram.com/ohmycay
@rcamachovzla,https://www.instagram.com/rcamachovzla
@sognis,https://www.instagram.com/sognis
@stefanmeroslaw,https://www.instagram.com/stefanmeroslaw
@surthycooks,https://www.instagram.com/surthycooks